500
0 6 12
92 1 276
93 5 120
93 1 277
93 10 418
93 5 446
93 7 457
93 4 499
94 4 114
94 10 175
94 1 330
94 1 340
94 4 493
95 7 119
95 3 136
95 9 147
95 4 180
95 3 199
95 1 252
95 3 490
96 8 344
96 3 380
96 10 391
96 8 440
96 2 446
97 4 442
97 3 499
98 3 198
99 3 191
99 10 336
100 3 113
100 6 203
100 3 317
101 2 116
101 3 404
101 3 483
102 1 159
102 10 351
103 8 119
103 2 129
103 8 284
103 5 355
105 4 119
105 6 188
106 3 116
106 8 301
107 5 165
108 4 268
109 2 245
109 9 331
109 9 346
110 7 334
110 8 358
110 1 367
111 1 146
111 2 220
111 3 256
111 6 460
111 5 481
112 4 153
112 8 216
112 10 291
112 6 389
113 3 374
113 6 425
114 8 385
114 1 489
115 8 252
115 9 286
115 8 343
116 7 118
116 3 123
117 6 219
117 1 339
117 9 396
118 4 174
118 6 230
118 10 248
119 1 171
119 7 414
119 10 470
120 10 343
120 4 479
121 8 287
121 7 305
122 7 125
122 9 264
122 2 469
122 2 493
123 7 163
123 8 462
124 8 387
126 10 153
126 10 180
126 4 259
126 8 309
126 8 397
127 10 207
127 5 361
127 9 429
127 5 431
127 4 477
128 4 368
128 2 492
129 8 410
129 8 470
130 7 223
130 7 341
130 9 357
131 6 271
131 10 417
132 10 424
133 7 143
133 8 296
133 10 303
133 10 424
134 7 229
134 5 310
135 1 205
135 8 219
135 6 464
136 4 175
136 5 390
136 3 489
137 6 185
137 8 369
138 10 178
138 5 183
138 3 383
138 10 480
139 3 261
139 2 295
140 6 236
140 6 438
141 10 214
141 8 241
141 8 355
141 2 367
142 1 223
142 4 466
143 6 306
143 8 340
143 4 415
143 8 441
143 5 451
144 6 306
144 2 355
144 2 480
145 1 285
146 9 405
146 6 434
147 5 320
147 8 361
147 7 488
148 1 210
148 9 259
148 2 384
148 9 443
148 3 490
149 1 182
149 7 407
150 8 460
150 4 498
151 2 161
151 9 322
151 3 443
152 3 429
152 5 466
153 10 162
153 2 337
153 10 407
153 9 448
154 10 324
154 2 477
154 2 484
154 1 495
155 10 205
155 4 219
155 9 399
156 7 267
156 3 344
156 2 464
156 10 484
156 1 495
157 7 346
158 3 190
158 6 273
158 2 431
158 2 467
159 9 231
159 10 383
159 9 458
160 1 162
160 4 195
160 2 250
160 3 315
160 5 480
161 3 232
161 2 350
161 6 353
163 2 245
163 1 299
163 3 309
163 10 354
163 3 433
164 10 260
164 5 481
165 7 180
165 9 446
165 3 449
165 9 480
165 5 487
166 4 213
166 4 257
166 6 290
166 6 437
167 1 218
167 10 287
167 8 355
167 5 469
168 7 169
168 9 186
168 5 334
168 3 422
169 2 265
169 5 284
169 9 324
169 1 372
169 5 453
170 5 211
170 1 340
170 8 447
171 2 181
171 4 239
171 8 436
171 5 452
172 9 350
172 5 426
173 10 306
175 5 206
175 1 260
175 5 269
175 6 298
175 1 304
175 10 386
175 4 393
175 7 428
175 3 474
175 2 477
176 10 264
177 6 196
177 6 454
178 9 269
178 4 276
178 2 317
178 3 494
179 6 195
179 7 216
179 8 301
179 10 353
179 3 438
180 5 285
180 3 333
181 8 394
182 8 203
182 4 473
183 6 288
183 7 440
183 6 471
185 9 274
185 2 285
185 1 401
185 4 499
186 7 415
187 9 359
187 4 368
188 8 355
188 10 364
189 1 404
189 2 468
189 6 471
189 6 478
191 7 337
191 8 414
192 3 245
192 3 298
193 1 225
193 6 258
194 5 215
194 5 233
194 5 258
194 4 279
194 2 317
194 4 404
194 4 423
195 2 221
195 9 281
195 10 305
195 5 437
196 2 253
196 6 402
197 1 221
197 1 298
198 4 221
198 4 363
198 2 365
199 8 258
199 10 266
199 1 323
199 5 492
200 7 228
200 5 381
200 10 460
200 5 473
201 3 296
201 5 464
202 2 297
202 6 399
202 1 452
202 2 490
203 9 315
203 10 321
203 2 338
203 5 347
204 6 247
204 3 312
204 9 323
204 8 447
205 3 294
205 6 313
205 1 366
205 7 367
205 9 491
206 5 284
206 3 312
206 7 318
206 2 368
206 7 417
206 10 452
207 8 215
207 8 341
207 9 349
207 2 367
208 6 435
208 7 483
209 2 343
210 10 281
210 1 380
211 1 221
211 7 395
211 10 488
212 7 222
212 5 361
212 9 468
214 3 310
215 9 309
215 2 352
216 9 393
216 8 472
216 7 479
217 9 221
217 1 291
217 4 484
218 4 369
219 2 375
219 9 449
220 5 329
220 3 485
221 4 401
222 2 300
222 2 324
222 10 410
222 10 424
222 2 471
223 7 345
225 5 253
226 5 234
226 9 265
226 3 442
226 6 461
227 10 241
227 3 281
227 3 295
227 4 460
228 3 252
229 7 236
229 4 389
231 8 270
231 2 307
232 3 494
233 10 270
233 3 409
233 1 488
234 5 476
235 5 236
235 9 321
236 7 397
236 5 494
237 5 305
237 7 329
237 3 372
238 4 328
238 9 419
239 8 289
239 8 499
241 3 265
241 8 271
241 6 286
241 8 329
241 1 482
242 2 330
243 10 281
243 7 300
244 2 489
245 7 393
246 6 368
247 5 377
247 10 465
249 1 252
249 3 262
249 8 353
249 5 368
250 4 384
250 9 420
250 6 425
251 5 408
251 8 440
251 9 480
253 7 257
253 1 258
253 6 351
254 2 272
254 8 309
255 6 309
255 2 449
256 7 309
256 1 335
256 9 379
256 2 479
257 1 309
257 4 402
258 10 270
258 4 285
259 8 346
259 9 432
259 2 479
260 7 270
260 5 314
260 5 389
260 1 420
261 9 282
261 4 361
261 10 467
263 5 362
264 6 480
265 10 354
265 2 444
266 1 269
266 2 408
267 10 295
268 4 349
268 7 380
269 10 439
271 9 454
272 6 317
272 9 371
273 5 276
273 7 288
273 3 301
273 9 311
273 4 373
273 4 421
273 10 428
273 3 432
273 10 475
274 1 414
274 10 420
274 4 495
275 6 299
275 4 305
275 4 353
275 2 468
276 2 363
276 6 462
278 9 329
279 8 282
279 9 336
279 10 422
279 8 426
279 9 463
280 10 410
280 8 426
281 6 303
281 2 392
281 10 419
282 6 351
282 10 353
283 1 313
283 5 383
284 8 469
285 9 326
285 5 376
285 5 486
286 5 439
287 9 370
287 9 409
287 9 474
288 2 313
288 10 363
288 3 387
290 3 337
290 9 342
290 8 467
291 8 456
292 1 322
293 7 439
293 4 459
294 5 324
295 4 317
296 8 304
296 5 370
297 2 354
297 5 403
298 2 374
299 1 310
299 4 314
300 10 330
301 5 474
302 2 355
302 5 382
303 7 309
303 3 432
303 3 461
305 4 335
307 2 313
308 3 440
308 10 462
309 7 387
309 1 416
310 4 400
310 10 479
313 5 346
313 5 387
313 4 396
313 1 398
313 5 410
313 6 426
313 6 486
314 6 378
315 4 320
315 3 367
316 9 444
318 3 437
319 8 337
320 4 366
322 2 391
323 10 353
323 10 401
323 9 479
325 4 369
325 3 430
325 4 439
326 9 352
326 3 399
326 4 437
328 2 391
330 4 378
331 9 395
331 3 442
331 2 469
332 3 346
332 2 387
332 7 401
332 2 441
332 1 472
334 10 390
334 8 424
334 6 476
334 1 491
335 4 408
335 5 435
336 2 443
336 1 473
337 7 394
338 10 348
338 5 387
338 3 405
339 7 476
340 9 370
340 5 452
341 7 357
342 10 380
343 7 426
344 7 418
346 5 360
346 5 428
346 6 486
350 9 401
350 7 446
353 4 382
353 9 417
355 8 496
357 6 385
357 3 431
357 5 497
359 2 410
359 5 456
359 4 462
359 6 482
361 1 365
363 1 470
364 7 410
364 6 441
365 6 391
365 3 429
366 8 393
366 9 405
368 7 409
369 9 434
370 9 471
371 4 422
375 1 413
381 1 416
383 3 480
385 2 448
386 5 411
387 4 421
387 4 474
388 9 412
389 7 407
390 8 419
390 3 425
391 4 453
391 3 462
393 8 408
393 10 422
393 8 492
394 4 460
396 8 478
396 9 486
397 6 409
399 6 440
399 2 441
400 7 402
403 3 421
404 7 438
404 1 464
407 4 458
407 9 465
408 9 450
408 6 453
410 8 469
410 8 479
413 5 463
414 7 462
414 1 489
415 2 429
418 8 423
419 1 492
422 6 476
424 8 442
424 2 471
424 5 473
424 8 487
425 2 474
426 1 434
426 4 438
426 7 439
427 2 460
430 4 470
433 10 492
434 5 449
434 6 478
435 5 441
443 7 462
443 9 495
453 2 477
457 1 476
459 8 496
462 10 465
